[0000002904ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000002918ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000002948ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000002966ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000003008ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000003024ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000003042ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000003078ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000003114ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000003128ns] mycpu : pc = 1c009004,  reg = 16, val = 0000003a
[0000003214ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000003238ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000003272ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000003300ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000003340ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000003354ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000003372ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000003408ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000003440ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000003454ns] mycpu : pc = 1c009004,  reg = 16, val = 0000003b
[0000003546ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000003562ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000003598ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000003614ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000003646ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000003660ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000003674ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000003724ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000003762ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000003776ns] mycpu : pc = 1c009004,  reg = 16, val = 0000003c
[0000003854ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000003872ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000003906ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000003922ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000003958ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000003976ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000003994ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000004028ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000004056ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000004074ns] mycpu : pc = 1c009004,  reg = 16, val = 0000003d
[0000004176ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000004192ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000004234ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000004248ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000004282ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000004298ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000004316ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000004352ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000004384ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000004402ns] mycpu : pc = 1c009004,  reg = 16, val = 0000003e
[0000004500ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000004514ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000004546ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000004560ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000004588ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000004602ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000004618ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000004652ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000004688ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000004712ns] mycpu : pc = 1c009004,  reg = 16, val = 0000003f
[0000004818ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000004832ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000004864ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000004882ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000004918ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000004938ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000004954ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000004986ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000005020ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000005034ns] mycpu : pc = 1c009004,  reg = 16, val = 00000040
[0000005148ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000005162ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000005202ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000005220ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000005266ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000005282ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000005296ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000005330ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000005368ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000005386ns] mycpu : pc = 1c009004,  reg = 16, val = 00000041
[0000005472ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000005486ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000005514ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000005530ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000005562ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000005576ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000005592ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000005626ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000005660ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000005678ns] mycpu : pc = 1c009004,  reg = 16, val = 00000042
[0000005794ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000005808ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000005842ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000005856ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000005892ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000005918ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000005932ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000005964ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000006004ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000006022ns] mycpu : pc = 1c009004,  reg = 16, val = 00000043
[0000006108ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000006124ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000006166ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000006180ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000006216ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000006238ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000006252ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000006282ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000006318ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000006332ns] mycpu : pc = 1c009004,  reg = 16, val = 00000044
[0000006440ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000006454ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000006486ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000006500ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000006536ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000006558ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000006578ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000006610ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000006656ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000006684ns] mycpu : pc = 1c009004,  reg = 16, val = 00000045
[0000006756ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000006774ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000006816ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000006832ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000006876ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000006892ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000006910ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000006944ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000006982ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000007000ns] mycpu : pc = 1c009004,  reg = 16, val = 00000046
[0000007068ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000007084ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000007118ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000007140ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000007180ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000007194ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000007210ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000007256ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000007290ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000007306ns] mycpu : pc = 1c009004,  reg = 16, val = 00000047
[0000007412ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000007430ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000007468ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000007484ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000007514ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000007528ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000007542ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000007584ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000007622ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
